Title,Genre,Premiere Date,Language,Country,IMDb Rating,IMDb Votes
Mighty Little Bheem,Family film,"April 12, 2019",Hindi,India,6.6,277
Twelve Forever,Family film,"July 29, 2019",N/A,United States,6.8,737
Spirit Riding Free: Pony Tales,Family film,"August 9, 2019",English,United States,6.8,102
Archibald's Next Big Thing,Family film,"September 6, 2019",N/A,N/A,7.7,297
The Last Kids on Earth,Family film,"September 17, 2019",English,United States,7.3,"1,517"
Dragons: Rescue Riders,Family film,"September 27, 2019",N/A,United States,5.9,371
Legend Quest: Masters of Myth,Family film,"October 5, 2019",English,Mexico,7.3,152
Hello Ninja,Family film,"November 1, 2019","English, Spanish",United States,6.9,131
Green Eggs and Ham,Family film,"November 8, 2019",English,United States,8.2,"2,867"
Fast & Furious Spy Racers,Family film,"December 26, 2019",English,United States,5.9,"1,577"
Go! Go! Cory Carson,Family film,"January 4, 2020",English,United States,7.8,272
Kipo and the Age of Wonderbeasts,Family film,"January 14, 2020",English,United States,8.3,"6,346"
Glitch Techs,Family film,"February 21, 2020",English,United States,7.7,"1,591"
Buddi,Family film,"March 20, 2020",English,"United Kingdom, China",7.4,62
Spirit Riding Free: Riding Academy,Family film,"April 3, 2020",English,United States,7.1,121
StarBeam,Family film,"April 3, 2020",English,United States,7.2,93
Chico Bon Bon: Monkey with a Tool Belt,Family film,"May 8, 2020",N/A,United States,6.3,134
Rhyme Time Town,Family film,"June 19, 2020",N/A,N/A,7.7,83
The Epic Tales of Captain Underpants in Space,Family film,"July 10, 2020",English,United States,7.3,127
Wizards: Tales of Arcadia,Family film,"August 7, 2020",,,,
Jurassic World Camp Cretaceous,Family film,"September 18, 2020",English,United States,7.5,"9,506"
Mighty Express,Family film,"September 22, 2020",English,"United States, Canada",3.9,130
Trash Truck,Family film,"November 10, 2020",N/A,N/A,8.6,592
Kid Cosmic,Family film,"February 2, 2021",N/A,United States,7.9,"1,558"
Kayko and Kokosh,Family film,"February 28, 2021",Polish,Poland,6.3,354
City of Ghosts,Family film,"March 5, 2021","English, French, Central Khmer, Russian",United States,5.9,"5,610"
We the People,Family film,"July 4, 2021",English,United States,4.1,807
Ridley Jones,Family film,"July 13, 2021",English,United States,2.4,827
Johnny Test,Family film,"July 16, 2021",English,"United States, Canada",5.1,"8,719"
Centaurworld,Family film,"July 30, 2021",English,United States,7.7,"2,383"
I Heart Arlo,Family film,"August 27, 2021",English,United States,7.1,245
A Tale Dark & Grimm,Family film,"October 8, 2021",English,"United States, Canada",7.3,"1,618"
Maya and the Three,Family film,"October 22, 2021",English,"Mexico, United States",8.1,"4,358"
"StoryBots: Laugh, Learn, Sing",Family film,"November 16, 2021",English,United States,N/A,10
Word Party Presents: Math!,Family film,"December 28, 2021",English,United States,N/A,17
Transformers: BotBots,Family film,"March 25, 2022",English,United States,7.1,107
Trivia Quest,Family film,"April 1, 2022",English,United States,5.7,248
Battle Kitty,Family film,"April 19, 2022",English,United States,6.1,220
Sea of Love,Family film,"May 23, 2022",English,"United States, Canada",6.8,"41,874"
Dead End: Paranormal Park,Family film,"June 16, 2022",English,"United Kingdom, United States",6.9,"2,587"
Big Tree City,Family film,"August 1, 2022","English, Ukrainian",United States,8.5,66
Oni: Thunder God's Tale,Family film,"October 21, 2022","English, Japanese","United States, Japan",8.2,959
Ludik,Drama,"August 26, 2022","Afrikaans, English",South Africa,5.6,547
Jinn,Fantasy adventure,"June 13, 2019",Arabic,Jordan,3.5,"10,311"
Dollar,Thriller,"August 8, 2019","Arabic, French",Lebanon,6.7,623
Paranormal,Supernatural drama,"November 5, 2020",Arabic,Egypt,8.0,"73,037"
Abla Fahita: Drama Queen,Puppetry/live-action comedy,"March 15, 2021","Arabic, Turkish, English",Egypt,6.6,459
"Love, Life & Everything in Between",Romantic comedy,"March 10, 2022",Arabic,Saudi Arabia,5.4,113
The Cage,Comedy drama,"October 11, 2022",Czech,Czech Republic,6.8,280
The Rain,Post-apocalyptic drama,"May 4, 2018",Danish,"Denmark, United States",6.3,"38,804"
Equinox,Thriller,"December 30, 2020",Danish,Denmark,6.1,"7,340"
The Chestnut Man,Crime drama,"September 29, 2021",Danish,Denmark,7.7,"47,926"
Elves,Fantasy horror,"November 28, 2021",Danish,Denmark,5.6,"4,674"
Chosen,Coming-of-age science fiction,"January 27, 2022",English,United States,6.8,"4,796"
Baby Fever,Romantic comedy drama,"June 8, 2022",Danish,Denmark,6.5,888
Ares,Horror drama,"January 17, 2020",Dutch,Netherlands,5.7,"4,603"
Misfit: The Series,Teen musical comedy-drama,"October 16, 2021",Dutch,Netherlands,7.0,89
Dirty Lines,Drama,"April 8, 2022",Dutch,Netherlands,7.4,"2,473"
Marseille,Political drama,"May 5, 2016",French,France,6.8,"5,340"
The Hook Up Plan,Romantic comedy,"December 7, 2018",,,,
Osmosis,Science fiction/drama,"March 29, 2019",French,France,5.8,"3,192"
Family Business,Comedy,"June 28, 2019",English,United States,5.7,"13,240"
Marianne,Horror drama,"September 13, 2019",French,France,7.4,"16,577"
Criminal: France,Police procedural anthology series,"September 20, 2019",French,France,7.2,"4,332"
Vampires,Supernatural drama,"March 20, 2020","English, Latin","United States, Japan",6.1,"60,997"
Mortel,Supernatural drama,"November 21, 2019",French,France,6.5,"1,592"
Into the Night,Science fiction,"May 1, 2020","French, Flemish, English, Italian, Turkish, Arabic, Russian, Bulgarian, Mandarin, Polish",Belgium,7.1,"33,712"
La Révolution,Supernatural drama,"October 16, 2020",French,France,6.6,"5,922"
Dealer,Drama,"March 10, 2021","Hungarian, English, German",Hungary,6.9,"1,045"
Gone for Good,Thriller,"August 13, 2021",French,France,6.3,"4,460"
Christmas Flow,Romantic comedy/Musical,"November 17, 2021",French,France,6.0,849
Standing Up,Comedy drama,"March 18, 2022",English,United States,6.8,"3,252"
The 7 Lives of Lea,Supernatural drama,"April 28, 2022",French,France,7.5,"4,139"
Off the Hook,Comedy,"September 1, 2022",French,France,6.4,653
Notre-Dame,Drama,"October 19, 2022",French,France,5.1,616
Dark,Science fiction,"December 1, 2017",German,"Germany, United States",8.7,"404,032"
Dogs of Berlin,Drama,"December 7, 2018",German,Germany,7.5,"13,381"
Criminal: Germany,Police procedural anthology series,"September 20, 2019",German,Germany,7.6,"5,510"
Skylines,Drama,"September 27, 2019",English,"United Kingdom, United States",4.7,"8,558"
We Are the Wave,Drama,"November 1, 2019",German,Germany,6.2,"2,873"
Holiday Secrets,Drama,"November 20, 2019",German,Germany,6.5,"1,237"
Biohackers,Thriller,"August 20, 2020",German,Germany,6.8,"10,516"
The Last Word,Comedy drama,"September 17, 2020",English,United States,6.6,"8,514"
Over Christmas,Comedy,"November 27, 2020",German,Germany,6.7,"2,285"
Tribes of Europa,Science fiction,"February 19, 2021","German, English",Germany,6.7,"12,975"
The Billion Dollar Code,Legal thriller,"October 7, 2021","German, English",Germany,8.0,"9,811"
Life's a Glitch with Julien Bam,Science fiction comedy-drama,"October 21, 2021",German,Germany,4.5,416
Kitz,Young adult mystery drama,"December 30, 2021",German,Germany,5.8,"2,715"
King of Stonks,Comedy drama,"July 6, 2022",German,Germany,6.6,"1,427"
Sacred Games,Drama,"July 6, 2018",Hindi,"India, United States",8.5,"89,424"
Ghoul,Horror,"August 24, 2018","Hindi, English",India,7.0,"14,437"
Selection Day,Drama,"December 28, 2018",N/A,India,7.3,"2,313"
Leila,Drama,"June 14, 2019",Hindi,India,5.0,"9,110"
Typewriter,Horror,"July 19, 2019",Hindi,India,6.5,"4,060"
Bard of Blood,Espionage thriller,"September 27, 2019",Hindi,India,6.8,"11,767"
Taj Mahal 1989,Romantic comedy,"February 14, 2020",Hindi,India,7.5,"1,621"
Hasmukh,Comedy,"April 17, 2020",Hindi,India,5.3,"2,741"
Betaal,Thriller,"May 24, 2020",Hindi,India,5.4,"9,329"
Masaba Masaba,Drama,"August 28, 2020",Hindi,India,6.7,"2,226"
Bhaag Beanie Bhaag,Comedy,"December 4, 2020",N/A,India,3.5,"6,716"
Bombay Begums,Drama,"March 8, 2021",Hindi,India,5.1,"4,962"
Ray,Anthology series,"June 25, 2021",English,United States,7.7,"151,185"
Feels Like Ishq,Anthology series,"July 23, 2021",Hindi,India,6.5,"1,641"
Call My Agent: Bollywood,Workplace dramedy,"October 29, 2021",Hindi,India,5.9,"6,293"
Aranyak,Crime thriller,"December 10, 2021",Hindi,India,7.8,"9,822"
The Fame Game,Suspense family drama,"February 25, 2022",Hindi,India,6.7,"21,887"
Mai: A Mother's Rage,Crime thriller,"April 15, 2022",,,,
Katla,Supernatural drama,"June 17, 2021","Icelandic, Swedish, English",Iceland,7.0,"14,914"
Suburra: Blood on Rome,Crime drama,"October 6, 2017",Italian,Italy,7.9,"15,211"
Baby,Drama,"November 30, 2018","Hindi, Nepali",India,7.9,"58,610"
Luna Nera,Historical drama,"January 31, 2020",Italian,Italy,5.9,"3,198"
Summertime,Teen drama,"April 29, 2020","English, Italian","United Kingdom, United States",7.1,"9,210"
Curon,Supernatural drama,"June 10, 2020",Italian,Italy,5.9,"4,335"
Zero,Superhero,"April 21, 2021",Hindi,India,5.2,"28,836"
Generation 56k,Romantic comedy,"July 1, 2021",Italian,Italy,7.4,"2,680"
Luna Park,Drama,"September 30, 2021",Italian,Italy,6.5,866
An Astrological Guide for Broken Hearts,Romantic comedy,"October 27, 2021",Italian,Italy,7.1,"3,663"
Framed! A Sicilian Murder Mystery,Comedy,"January 1, 2022",Italian,Italy,6.8,"1,407"
"Devotion, a Story of Love and Desire",Romantic drama,"February 14, 2022",,,,
Hibana: Spark,Drama,"June 2, 2016",,,,
Midnight Diner: Tokyo Stories,Slice of life/Anthology series,"October 21, 2016",Japanese,Japan,8.4,"4,465"
Samurai Gourmet,Slice of life comedy,"March 17, 2017",Japanese,Japan,8.1,"2,210"
Blazing Transfer Students,Action comedy,"November 10, 2017",Japanese,Japan,6.9,127
Erased,Supernatural mystery,"December 15, 2017",Japanese,Japan,8.5,"50,586"
Jimmy: The True Story of a True Idiot,Comedy,"July 20, 2018",Japanese,Japan,6.7,85
Switched,Science fiction,"August 1, 2018",Japanese,Japan,7.1,"1,562"
The Naked Director,Period comedy drama,"August 8, 2019",Japanese,Japan,7.7,"6,519"
Followers,Drama,"February 27, 2020",Japanese,Japan,6.4,612
The Forest of Love: Deep Cut,Drama,"April 30, 2020",Japanese,Japan,6.8,522
Ju-On: Origins,Horror,"July 3, 2020","Japanese, English","Japan, United States",6.1,"4,934"
Creator's File: Gold,Mockumentary,"June 3, 2021",Japanese,Japan,N/A,23
The Journalist,Drama,"January 13, 2022",Japanese,Japan,7.0,775
Fishbowl Wives,Romantic drama,"February 14, 2022",Japanese,Japan,6.2,"1,199"
My Only Love Song,Comedy,"June 9, 2017",Korean,South Korea,7.1,739
YG Future Strategy Office,Comedy,"October 5, 2018",N/A,South Korea,6.9,216
Kingdom,Period horror thriller,"January 25, 2019",Korean,South Korea,8.3,"49,054"
Persona,Anthology,"April 11, 2019","Swedish, English",Sweden,8.1,"122,656"
My First First Love,Romantic comedy,"April 18, 2019",Korean,South Korea,7.5,"2,577"
Love Alarm,Romantic dramedy,"August 22, 2019",Korean,South Korea,6.7,"6,445"
My Holo Love,Science fiction romance,"February 7, 2020",Korean,South Korea,7.6,"2,891"
Extracurricular,Teen/crime drama,"April 29, 2020",Korean,South Korea,7.6,"7,782"
The School Nurse Files,Fantasy drama,"September 25, 2020",Korean,South Korea,6.4,"1,350"
Move to Heaven,Melodrama,"May 14, 2021","Korean, Korean Sign ",South Korea,8.5,"7,176"
So Not Worth It,Sitcom,"June 18, 2021",Korean,"Korea, South Korea",7.0,"1,226"
My Name,Crime thriller,"October 15, 2021","Hindi, English","India, United Arab Emirates, United States",7.9,"110,284"
The Silent Sea,Science fiction thriller,"December 24, 2021",Korean,South Korea,6.9,"22,322"
Juvenile Justice,Legal drama,"February 25, 2022",Korean,South Korea,7.9,"4,021"
The Sound of Magic,Musical/Romantic fantasy,"May 6, 2022",Korean,South Korea,7.6,"4,023"
Nowhere Man,Thriller,"October 31, 2019",English,United States,8.4,"1,864"
Triad Princess,Crime drama/romance,"December 6, 2019",N/A,Taiwan,6.7,823
The Ghost Bride,Mystery drama,"January 23, 2020",N/A,"Taiwan, Malaysia",6.3,817
More than Blue: The Series,Romantic drama,"October 22, 2021",Mandarin,Taiwan,8.0,414
Light the Night,Suspense thriller/Melodrama,"November 26, 2021","Chinese, Mandarin",Taiwan,7.4,"1,271"
"Mom, Don't Do That!",Romantic dramedy,"July 15, 2022",Mandarin,Taiwan,6.1,261
Shards of Her,Suspense thriller,"October 28, 2022","Mandarin, Min Nan",Taiwan,6.9,430
Home for Christmas,Comedy drama,"December 5, 2019",Norwegian,Norway,7.7,"15,498"
Bloodride,Horror anthology,"March 13, 2020",Norwegian,Norway,6.4,"4,002"
Post Mortem: No One Dies in Skarnes,Supernatural drama,"August 25, 2021",Norwegian,Norway,7.1,"3,722"
The Lørenskog Disappearance,Crime drama,"September 14, 2022",Norwegian,Norway,6.0,"2,151"
A Storm for Christmas,Comedy drama,"December 16, 2022",Norwegian,Norway,7.1,"3,625"
1983,Spy thriller,"November 30, 2018","Polish, English, Vietnamese, Russian, Chinese","Poland, United States",6.8,"3,962"
The Woods,Thriller,"June 12, 2020",English,"United States, Germany, Canada",5.6,"11,749"
Open Your Eyes,Thriller,"August 25, 2021",Spanish,"Spain, France, Italy",7.7,"70,906"
Hold Tight,Thriller,"April 22, 2022",Polish,Poland,6.2,"3,238"
Cracow Monsters,Fantasy drama,"March 18, 2022",Polish,Poland,5.5,"2,077"
Queen,Drama,"June 23, 2022","Hindi, English, French, Japanese, Dutch",India,8.1,"66,835"
Family Secrets,Comedy,"August 31, 2022",Turkish,Turkey,8.4,"3,843"
The Green Glove Gang,Dark comedy,"October 19, 2022",Polish,Poland,6.5,731
3%,Science fiction,"November 25, 2016",Portuguese,Brazil,7.3,"26,539"
The Mechanism,Crime drama,"March 23, 2018",Portuguese,Brazil,8.0,"36,401"
Samantha!,Comedy,"July 6, 2018",Portuguese,Brazil,6.6,532
Girls from Ipanema,Period drama,"March 22, 2019",Portuguese,Brazil,7.8,"3,653"
The Chosen One,Thriller drama,"June 28, 2019",English,United States,4.5,"2,560"
Brotherhood,Crime drama,"October 25, 2019",English,United States,7.7,"7,724"
Nobody's Looking,Comedy drama,"November 22, 2019",Portuguese,Brazil,7.7,"2,244"
Omniscient,Science fiction,"January 29, 2020",Portuguese,Brazil,6.5,"2,286"
Reality Z,Zombie horror,"June 10, 2020",Portuguese,Brazil,5.6,"2,655"
Kissing Game,Thriller,"July 17, 2020",Portuguese,Brazil,6.2,834
Glória,Thriller,"November 5, 2021","Portuguese, English",Portugal,7.9,"4,521"
Summer Heat,Drama,"January 21, 2022",English,United States,4.7,335
Maldivas,Comedy drama,"June 15, 2022",Portuguese,Brazil,5.7,"1,128"
Unsuspicious,Comedy,"August 17, 2022",Portuguese,Brazil,N/A,188
Only for Love,Musical drama,"September 21, 2022",Portuguese,Brazil,7.8,117
Lady Voyeur,Psychological thriller,"January 1, 2023",Portuguese,Brazil,4.9,"1,610"
The Endless Night,Drama,"January 25, 2023",Portuguese,Brazil,7.6,"1,204"
Club de Cuervos,Comedy drama,"August 7, 2015",Spanish,Mexico,8.2,"5,837"
Estocolmo,Crime drama,"November 11, 2016",Spanish,Argentina,5.7,349
Ingobernable,Political drama,"March 24, 2017",Spanish,Mexico,7.0,"3,224"
Cable Girls,Period drama,"April 28, 2017",Spanish,Spain,7.5,"15,093"
Edha,Drama,"March 16, 2018",Spanish,Argentina,4.9,664
Club de Cuervos Presents: The Ballad of Hugo Sánchez,Comedy,"June 17, 2018",,,,
The House of Flowers,Comedy,"August 10, 2018",Spanish,Mexico,7.6,"8,154"
Wild District,Crime drama,"October 19, 2018",Spanish,Colombia,8.2,"2,030"
Diablero,Horror fantasy thriller,"December 21, 2018",Spanish,Mexico,6.7,"2,718"
Always a Witch,Supernatural drama,"February 1, 2019",Spanish,Colombia,6.3,"2,593"
Go! Live Your Way,Musical,"February 22, 2019",Spanish,Argentina,6.8,725
Crime Diaries: The Candidate,Crime anthology series,"March 22, 2019",Spanish,Mexico,7.6,851
Crime Diaries: Night Out,Crime anthology series,"May 3, 2019",,,,
High Seas,Mystery period drama,"May 24, 2019",Spanish,Spain,6.8,"7,796"
Yankee,Drama,"June 14, 2019",Spanish,Mexico,5.9,768
Green Frontier,Crime drama/thriller,"August 16, 2019",,,,
Monarca,Family drama,"September 13, 2019",Spanish,Mexico,7.8,"3,448"
Criminal: Spain,Police procedural anthology,"September 20, 2019",Spanish,Spain,6.9,"4,441"
Hache,Thriller,"November 1, 2019",Spanish,Spain,6.5,"1,760"
The Club,Crime drama,"November 15, 2019",Spanish,Chile,7.2,"11,417"
Three Days of Christmas,Drama,"December 6, 2019",Spanish,Spain,6.8,"1,389"
The Neighbor,Superhero comedy,"December 31, 2019",English,United Kingdom,5.8,"7,951"
Puerta 7,Sports crime drama,"February 21, 2020",Spanish,Argentina,5.6,590
Unstoppable,Comedy drama,"February 28, 2020",English,United States,6.8,"200,864"
Almost Happy,Comedy,"May 1, 2020",Spanish,Argentina,6.9,"1,028"
The Unremarkable Juanquini,Comedy,"May 15, 2020",Spanish,Colombia,4.4,192
Control Z,Teen drama,"May 22, 2020",Spanish,Mexico,6.8,"10,096"
The Search,Crime anthology series,"June 12, 2020","English, German, French, Polish, Hungarian, Czech","Switzerland, United States",7.8,"4,568"
Dark Desire,Thriller,"July 15, 2020",Spanish,Mexico,6.5,"8,287"
The Great Heist,Crime drama,"August 14, 2020",Spanish,Colombia,7.3,"2,717"
Someone Has to Die,Drama,"October 16, 2020",Spanish,"Mexico, Spain",6.3,"5,221"
The Minions of Midas,Thriller,"November 13, 2020",Spanish,Spain,6.6,"4,386"
The Mess You Leave Behind,Drama,"December 11, 2020",Spanish,Spain,6.8,"9,797"
Sky Rojo,Action drama,"March 19, 2021",Spanish,Spain,6.6,"10,259"
Who Killed Sara?,Crime drama,"March 24, 2021",Spanish,Mexico,6.4,"15,080"
The Innocent,Mystery thriller,"April 30, 2021",Spanish,Spain,7.8,"32,843"
Somos.,Drama,"June 30, 2021",Spanish,Mexico,7.1,"1,220"
The War Next-door,Comedy,"July 7, 2021",Spanish,Mexico,5.7,497
The Kingdom,Crime drama,"August 13, 2021","English, Arabic","United States, Germany, United Arab Emirates",7.0,"127,813"
Everything Will Be Fine,Dramedy,"August 20, 2021","Danish, Czech","Denmark, Sweden, France",6.1,835
Jaguar,Historical drama,"September 22, 2021",Spanish,Spain,5.8,"1,975"
The Five Juanas,Comedy drama,"October 6, 2021",Spanish,Mexico,6.9,"2,005"
The Time It Takes,Drama,"October 29, 2021",Spanish,Spain,7.2,"1,677"
Rebelde,Teen drama,"January 5, 2022",Spanish,Mexico,6.4,"6,608"
Feria: The Darkest Light,Fantasy,"January 28, 2022",Spanish,Spain,5.7,"2,665"
Savage Rhythm,Drama,"March 2, 2022",Spanish,Colombia,5.2,202
Once Upon a Time... Happily Never After,Musical comedy,"March 11, 2022",,,,
Heirs to the Land,Period drama,"April 15, 2022",Spanish,Spain,7.1,"1,354"
42 Days of Darkness,Crime thriller,"May 11, 2022",Spanish,Chile,6.5,"1,420"
Intimacy,Drama,"June 10, 2022",English,"France, United Kingdom, Germany",6.1,"12,568"
You're Nothing Special,Comedy,"September 2, 2022",Spanish,Spain,5.6,409
The Fight for Justice: Paolo Guerrero,Biopic,"October 5, 2022",Spanish,"Peru, Argentina",6.5,110
"Belascoarán, PI",Detective drama,"October 12, 2022",Spanish,Mexico,7.3,"1,191"
If Only,Drama,"October 28, 2022",English,"United States, United Kingdom",7.0,"33,048"
Quicksand,Crime drama,"April 5, 2019",Swedish,Sweden,7.4,"23,066"
Love & Anarchy,Romantic comedy,"November 4, 2020",Swedish,Sweden,7.4,"10,852"
The Unlikely Murderer,Crime drama miniseries,"November 5, 2021",Swedish,Sweden,7.0,"4,525"
Anxious People,Comedy drama,"December 29, 2021",Swedish,Sweden,6.8,"4,486"
Clark,Drama,"May 5, 2022","Swedish, English, Danish, French, Arabic, Spanish, German",Sweden,7.4,"11,499"
The Playlist,Docu-drama miniseries,"October 13, 2022","Swedish, English",Sweden,7.5,"10,842"
Paava Kadhaigal,Anthology series,"December 18, 2020",Tamil,India,8.0,"6,905"
Navarasa,Anthology series,"August 6, 2021",Tamil,India,5.8,"3,662"
Pitta Kathalu,Anthology series,"February 19, 2021","Telugu, Hindi",India,5.1,774
The Stranded,Fantasy drama,"November 14, 2019",Thai,Thailand,6.2,"1,375"
Bangkok Breaking,Thriller,"September 23, 2021",Thai,Thailand,5.8,326
Hurts Like Hell,Sports drama,"July 13, 2022",Thai,Thailand,7.4,271
Thai Cave Rescue,Drama,"September 22, 2022",Thai,"Thailand, United States",7.8,"1,985"
School Tales The Series,Horror anthology,"August 10, 2022",Thai,Thailand,5.3,541
The Protector,Supernatural mystery,"December 14, 2018","Thai, English, Mandarin, Vietnamese","Thailand, United States, Hong Kong, France, Australia",7.0,"38,035"
The Gift,Supernatural drama,"December 27, 2019",English,"United States, Australia, China",7.0,"163,095"
Love 101,Teen drama,"April 24, 2020",Turkish,Turkey,7.4,"15,524"
Ethos,Drama,"November 12, 2020","Turkish, Arabic, Kurdish",Turkey,8.5,"28,019"
50M2,Dark comedy,"January 27, 2021",Turkish,Turkey,6.9,"5,998"
Wild Abandon,Drama,"March 30, 2022",English,Australia,N/A,N/A
Yakamoz S-245,Drama,"April 20, 2022","Turkish, English, German",Turkey,6.1,"7,319"
Man on Pause,Comedy,"October 7, 2022",Turkish,Turkey,6.7,"3,911"
Hot Skull,Science fiction,"December 2, 2022",Turkish,Turkey,7.2,"6,030"
The Brave Ones,Fantasy drama,"September 16, 2022",Zulu,South Africa,4.9,463
Chef's Table,Culinary art,"April 26, 2015",English,United States,8.5,"16,041"
Making a Murderer,Crime drama,"December 18, 2015",English,United States,8.6,"98,240"
Chelsea Does,Comedy,"January 23, 2016",English,United States,7.4,"2,549"
Cooked,Culinary art,"February 19, 2016",English,United States,8.1,"3,068"
Last Chance U,Sport,"July 29, 2016",English,United States,8.4,"7,190"
Fearless,Sport,"August 19, 2016","Mandarin, Japanese, English","China, Hong Kong, United States",7.6,"77,090"
Chef's Table: France,Culinary art,"September 2, 2016",French,France,8.3,"1,796"
Roman Empire,Historical drama,"November 11, 2016",English,"Canada, United States",7.0,"8,394"
Captive,Documentary,"December 9, 2016",English,"United States, Mexico",5.4,"7,054"
Abstract: The Art of Design,Biography,"February 10, 2017",English,United States,8.3,"5,676"
Five Came Back,Historical drama,"March 31, 2017",English,United States,8.3,"4,921"
Hot Girls Wanted: Turned On,Documentary,"April 21, 2017",English,United States,6.6,"2,286"
The Keepers,Crime drama,"May 19, 2017",English,United States,8.0,"23,469"
Daughters of Destiny,Documentary,"July 28, 2017",English,United States,8.6,953
Fire Chasers,Documentary,"September 8, 2017",English,United States,6.6,391
The Confession Tapes,True crime,"September 8, 2017",English,United States,7.5,"5,534"
Jack Whitehall: Travels with My Father,Travel documentary,"September 22, 2017",English,United Kingdom,7.6,"5,781"
The Day I Met El Chapo,Biography,"October 20, 2017","Spanish, English",United States,6.8,"1,140"
Shot in the Dark,True crime,"November 17, 2017",Language,Country,IMDb Rating,IMDb Votes
Wormwood,Psychological drama,"December 15, 2017",English,United States,7.0,"4,433"
72 Dangerous Animals: Latin America,Nature,"December 22, 2017",English,"Australia, United States",6.6,626
Dope,Documentary,"December 22, 2017","English, Spanish",United States,7.2,"87,074"
The Toys That Made Us,Documentary,"December 22, 2017",English,United States,7.9,"5,903"
Rotten,Documentary,"January 5, 2018",English,United States,7.2,"3,904"
Drug Lords,Documentary,"January 19, 2018",English,United States,6.8,"1,409"
Dirty Money,Documentary,"January 26, 2018",English,United States,8.1,"9,688"
Coach Snoop,Sport,"February 2, 2018",English,United States,6.8,621
First Team: Juventus,Sport,"February 16, 2018",Italian,United States,7.2,"2,160"
Ugly Delicious,Travel documentary,"February 23, 2018",English,United States,7.8,"3,653"
Flint Town,Documentary,"March 2, 2018",English,United States,7.8,"3,880"
Girls Incarcerated,Documentary,"March 2, 2018",English,United States,7.3,"1,179"
Wild Wild Country,Documentary,"March 16, 2018",English,United States,8.1,"32,493"
Rapture,Documentary,"March 30, 2018","English, French",United States,7.2,"1,039"
Bobby Kennedy for President,History,"April 27, 2018",English,United States,8.2,"1,911"
Evil Genius: The True Story of America's Most Diabolical Bank Heist,True crime,"May 11, 2018",English,United States,7.5,"29,440"
Explained,Docuseries,"May 23, 2018",English,United States,8.0,"9,560"
November 13: Attack on Paris,Documentary,"June 1, 2018",French,France,8.3,"3,410"
Dark Tourist,Travel documentary,"July 20, 2018",English,New Zealand,7.5,"7,711"
Marching Orders,Docuseries,"August 3, 2018",English,United States,6.2,259
72 Dangerous Animals: Asia,Nature,"August 10, 2018",N/A,Australia,6.4,589
Afflicted,Docuseries,"August 10, 2018","English, French, Italian","Canada, United States",6.2,"24,567"
Follow This,Docuseries,"August 23, 2018",English,United States,5.0,728
First and Last,Docuseries,"September 7, 2018",N/A,N/A,6.7,465
Boca Juniors Confidential,Docuseries,"September 14, 2018",Spanish,Argentina,6.4,373
Salt Fat Acid Heat,Travel documentary,"October 11, 2018",N/A,N/A,7.7,"2,621"
FightWorld,Travel documentary,"October 12, 2018",N/A,N/A,7.5,884
Terrorism Close Calls,Docuseries,"October 26, 2018",N/A,"United States, Czech Republic",5.3,769
Medal of Honor,Docuseries,"November 9, 2018",English,United States,8.3,"1,806"
Dogs,Docuseries,"November 16, 2018",Romanian,"Romania, France, Bulgaria, Qatar",7.0,"3,038"
Vai Anitta,Docuseries,"November 16, 2018","Portuguese, English, Spanish",Brazil,5.5,474
Inside the Real Narcos,Docuseries,"December 14, 2018",N/A,N/A,7.5,765
The Innocent Man,True crime,"December 14, 2018",English,United States,7.3,"6,197"
7 Days Out,Docuseries,"December 21, 2018",English,United States,6.8,594
Murder Mountain,True crime,"December 28, 2018",English,United States,6.8,"3,360"
Trigger Warning with Killer Mike,Docuseries,"January 18, 2019",N/A,N/A,7.0,"1,277"
Conversations with a Killer: The Ted Bundy Tapes,True crime,"January 24, 2019",English,United States,7.7,"31,238"
Examination of Conscience,True crime,"January 25, 2019",Spanish,Spain,7.8,462
Larry Charles' Dangerous World of Comedy,Docuseries,"February 15, 2019",N/A,N/A,7.3,602
Losers,Sport,"March 1, 2019",N/A,N/A,7.6,"1,877"
Cricket Fever: Mumbai Indians,Sport,"March 1, 2019",N/A,India,7.3,736
The Disappearance of Madeleine McCann,True crime,"March 15, 2019","English, Portuguese, Spanish",United States,6.6,"11,178"
Our Planet,Nature documentary,"April 5, 2019",English,"United States, United Kingdom",9.3,"45,321"
Street Food: Asia,Culinary art,"April 26, 2019",English,United States,7.9,"3,037"
1994,Docuseries,"May 17, 2019",Italian,"Italy, Germany",7.5,831
Killer Ratings,Docuseries,"May 31, 2019",Portuguese,"United Kingdom, Brazil",7.6,"1,827"
The Chef Show,Culinary art,"June 7, 2019",English,United States,8.2,"5,342"
The Alcàsser Murders,True crime,"June 14, 2019",Spanish,Spain,7.0,"2,407"
Exhibit A,True crime,"June 28, 2019",N/A,United Kingdom,6.1,"2,918"
The Last Czars,Docuseries,"July 3, 2019",English,United States,7.3,"8,917"
The Family,Docuseries,"August 9, 2019","English, French, Italian","France, United Kingdom, United States",6.3,"118,868"
Happy Jail,Docuseries,"August 14, 2019",N/A,N/A,6.9,260
Diagnosis,Docuseries,"August 16, 2019",English,United States,7.7,"1,199"
"The Mind, Explained",Docuseries,"September 12, 2019",English,United States,8.0,"5,654"
Inside Bill's Brain: Decoding Bill Gates,Docuseries,"September 20, 2019",English,United States,7.8,"11,287"
