Title,Genre,Premiere Date
The Crew,Workplace comedy,"February 15, 2021"
The Chair,Comedy drama,"August 20, 2021"
Pretty Smart,Sitcom,"October 8, 2021"
Decoupled,Comedy,"December 17, 2021"
The Woman in the House Across the Street from the Girl in the Window,Dark comedy thriller,"January 28, 2022"
Murderville,Crime comedy/Improvisational,"February 3, 2022"
Eternally Confused and Eager for Love,Comedy drama,"March 18, 2022"
Hard Cell,Mockumentary,"April 12, 2022"
The Pentaverate,Comedy,"May 5, 2022"
Uncoupled,Comedy,"July 29, 2022"
Chad and JT Go Deep,Comedy,"August 23, 2022"
Blockbuster,Workplace comedy,"November 3, 2022"
Freeridge,Comedy,"February 2, 2023"
Richie Rich,Sitcom,"February 20, 2015"
Project Mc2,Comedy,"August 7, 2015"
Fuller House,Sitcom,"February 26, 2016"
Haters Back Off,Comedy,"October 14, 2016"
One Day at a Time,Sitcom,"January 6, 2017"
A Series of Unfortunate Events,Black comedy mystery,"January 13, 2017"
Julie's Greenroom,Educational,"March 17, 2017"
Free Rein,Teen drama,"June 22, 2017"
Greenhouse Academy,Science fiction teen drama,"September 8, 2017"
Alexa & Katie,Sitcom,"March 23, 2018"
Lost in Space,Science fiction,"April 13, 2018"
The Who Was? Show,Educational,"May 11, 2018"
All About the Washingtons,Comedy,"August 10, 2018"
The Ponysitters Club,Drama,"August 10, 2018"
Best.Worst.Weekend.Ever.,Comedy,"October 19, 2018"
Brainchild,Educational,"November 2, 2018"
Prince of Peoria,Sitcom,"November 16, 2018"
No Good Nick,Sitcom,"April 15, 2019"
Malibu Rescue: The Series,Comedy,"June 3, 2019"
Family Reunion,Sitcom,"July 10, 2019"
The Dark Crystal: Age of Resistance,Fantasy,"August 30, 2019"
Team Kaylie,Sitcom,"September 23, 2019"
Raising Dion,Superhero/science fiction drama,"October 4, 2019"
Dolly Parton's Heartstrings,Anthology series,"November 22, 2019"
The Healing Powers of Dude,Family comedy,"January 13, 2020"
Ashley Garcia: Genius in Love,Comedy,"February 17, 2020"
The Letter for the King,Fantasy,"March 20, 2020"
The Big Show Show,Comedy,"April 6, 2020"
The Baby-Sitters Club,Comedy drama,"July 3, 2020"
Emily's Wonder Lab,Educational,"August 25, 2020"
Bookmarks,Educational,"September 1, 2020"
Julie and the Phantoms,Musical comedy,"September 10, 2020"
Izzy's Koala World,Educational,"September 15, 2020"
Selena: The Series,Biopic,"December 4, 2020"
Zero Chill,Sport/Teen drama,"March 15, 2021"
Waffles + Mochi,Cooking/Educational,"March 16, 2021"
Country Comfort,Sitcom,"March 19, 2021"
Dad Stop Embarrassing Me!,Sitcom,"April 14, 2021"
Scaredy Cats,Fantasy comedy,"October 1, 2021"
Super PupZ,Children's comedy,"March 31, 2022"
The Last Bus,Science fiction,"April 1, 2022"
Gymnastics Academy: A Second Chance!,Family drama,"September 16, 2022"
Phantom Pups,Children's comedy,"September 30, 2022"
Gilmore Girls: A Year in the Life,Family drama,"November 25, 2016"
Wet Hot American Summer: Ten Years Later,Satirical comedy,"August 4, 2017"
The Defenders,Superhero action/drama,"August 18, 2017"
Godless,Western,"November 22, 2017"
Maniac,Dark comedy,"September 21, 2018"
The Haunting of Hill House,Horror,"October 12, 2018"
When They See Us,Drama,"May 31, 2019"
Armistead Maupin's Tales of the City,Drama,"June 7, 2019"
The I-Land,Science fiction thriller,"September 12, 2019"
Unbelievable,Drama,"September 13, 2019"
The Stranger,Thriller,"January 30, 2020"
Self Made: Inspired by the Life of Madam C. J. Walker,Biopic,"March 20, 2020"
Unorthodox,Drama,"March 26, 2020"
The Eddy,Musical drama,"May 8, 2020"
The Haunting of Bly Manor,Horror/Gothic-Romance,"October 9, 2020"
The Queen's Gambit,Coming-of-age period drama,"October 23, 2020"
Behind Her Eyes,Psychological thriller,"February 17, 2021"
Brand New Cherry Flavor,Horror-thriller,"August 13, 2021"
Clickbait,Thriller,"August 25, 2021"
King of Boys: The Return of the King,Crime drama,"August 27, 2021"
Midnight Mass,Horror,"September 24, 2021"
Maid,Comedy drama,"October 1, 2021"
Colin in Black & White,Biopic,"October 29, 2021"
True Story,Drama,"November 24, 2021"
Stay Close,Thriller,"December 31, 2021"
Inventing Anna,Drama,"February 11, 2022"
Anatomy of a Scandal,Anthology drama,"April 15, 2022"
Blood Sisters,Thriller,"May 5, 2022"
"Boo, Bitch",Comedy,"July 8, 2022"
Keep Breathing,Survival drama,"July 28, 2022"
Echoes,Mystery thriller,"August 19, 2022"
Lost Ollie,Drama,"August 24, 2022"
Devil in Ohio,Thriller,"September 2, 2022"
From Scratch,Drama,"October 21, 2022"
The Witcher: Blood Origin,Fantasy drama,"December 25, 2022"
Treason,Spy drama,"December 26, 2022"
Kaleidoscope,Heist drama,"January 1, 2023"
Transatlantic,Historical drama,"April 7, 2023"
Florida Man,Crime drama,"April 13, 2023"
Obsession,Erotic thriller,"April 13, 2023"
BoJack Horseman,Comedy drama,"August 22, 2014"
F Is for Family,Sitcom,"December 18, 2015"
Neo Yokio,Science fantasy comedy,"September 22, 2017"
Paradise PD,Crime comedy,"August 31, 2018"
Super Drags,Superhero comedy,"November 9, 2018"
Trailer Park Boys: The Animated Series,Mockumentary,"March 31, 2019"
Tuca & Bertie,Comedy,"May 3, 2019"
The Midnight Gospel,Science fantasy/Dark comedy,"April 20, 2020"
Hoops,Sitcom,"August 21, 2020"
The Liberator,War drama,"November 11, 2020"
Bad Exorcist,Horror comedy,"December 3, 2020"
Masters of the Universe: Revelation,Science fantasy,"July 23, 2021"
Q-Force,Comedy,"September 2, 2021"
Adventure Beast,Educational/comedy,"October 22, 2021"
Inside Job,Workplace comedy/Science fiction,"October 22, 2021"
Tear Along the Dotted Line,Comedy,"November 17, 2021"
Saturday Morning All Star Hits!,Comedy,"December 10, 2021"
The Guardians of Justice,Superhero live-action animation mix,"March 1, 2022"
Castlevania,Dark fantasy action,"July 7, 2017"
Devilman Crybaby,Supernatural horror,"January 5, 2018"
B: The Beginning,Suspense,"March 2, 2018"
A.I.C.O. -Incarnation-,Science fiction,"March 9, 2018"
Sword Gai: The Animation,Supernatural,"March 23, 2018"
Lost Song,Musical fantasy,"March 31, 2018"
Aggretsuko,Workplace comedy,"April 20, 2018"
Baki,Martial arts,"June 25, 2018"
Hero Mask,Crime,"December 3, 2018"
Rilakkuma and Kaoru,Stop motion/Slice of life,"April 19, 2019"
7SEEDS,Science fiction,"June 28, 2019"
Knights of the Zodiac: Saint Seiya,Action,"July 19, 2019"
Cannon Busters,Fantasy,"August 15, 2019"
Seis Manos,Supernatural/Action,"October 3, 2019"
Dino Girl Gauko,Children's series,"November 22, 2019"
Levius,Science fiction/Action,"November 28, 2019"
The Disastrous Life of Saiki K.: Reawakened,Supernatural comedy,"December 30, 2019"
Cagaster of an Insect Cage,Science fiction,"February 6, 2020"
Ghost in the Shell: SAC_2045,Science fiction,"April 23, 2020"
Japan Sinks: 2020,Disaster,"July 9, 2020"
Transformers: War for Cybertron Trilogy: Siege,Science fiction,"July 30, 2020"
The Idhun Chronicles,Fantasy/Action,"September 10, 2020"
Dragon's Dogma,Dark fantasy/Adventure,"September 17, 2020"
Transformers: War for Cybertron Trilogy: Earthrise,Science fiction,"December 30, 2020"
High-Rise Invasion,Action horror,"February 25, 2021"
Pacific Rim: The Black,Mecha/Kaiju,"March 4, 2021"
Yasuke,Historical fantasy/Action,"April 29, 2021"
Eden,Science fiction,"May 27, 2021"
Trese,Dark fantasy/Crime,"June 10, 2021"
Resident Evil: Infinite Darkness,CG animation/Horror,"July 8, 2021"
Transformers: War for Cybertron Trilogy: Kingdom,Science fiction,"July 29, 2021"
Super Crooks,Crime,"November 25, 2021"
The Orbital Children,Science fiction adventure,"January 28, 2022"
Kotaro Lives Alone,Comedy,"March 10, 2022"
Thermae Romae Novae,Comedy,"March 28, 2022"
Rilakkuma's Theme Park Adventure,Slice of life,"August 25, 2022"
Cyberpunk: Edgerunners,Science fiction,"September 13, 2022"
Turbo Fast,Family film,"December 24, 2013"
VeggieTales in the House,Family film,"November 26, 2014"
All Hail King Julien,Family film,"December 19, 2014"
The Adventures of Puss in Boots,Family film,"January 16, 2015"
Ever After High,Family film,"February 6, 2015"
Dragons: Race to the Edge,Family film,"June 26, 2015"
Dinotrux,Family film,"August 14, 2015"
The Mr. Peabody & Sherman Show,Family film,"October 9, 2015"
Popples,Family film,"October 30, 2015"
Care Bears and Cousins,Family film,"November 6, 2015"
Dawn of the Croods,Family film,"December 24, 2015"
Lego Bionicle: The Journey to One,Family film,"March 4, 2016"
Lego Friends: The Power of Friendship,Family film,"March 4, 2016"
Kong: King of the Apes,Family film,"April 15, 2016"
Voltron: Legendary Defender,Family film,"June 10, 2016"
Justin Time GO!,Family film,"June 24, 2016"
Word Party,Family film,"July 8, 2016"
Home: Adventures with Tip & Oh,Family film,"July 29, 2016"
Ask the StoryBots,Family film,"August 12, 2016"
Kulipari: An Army of Frogs,Family film,"September 2, 2016"
Skylanders Academy,Family film,"October 28, 2016"
World of Winx,Family film,"November 4, 2016"
Luna Petunia,Family film,"December 9, 2016"
Trollhunters: Tales of Arcadia,Family film,"December 23, 2016"
Edgar Rice Burroughs' Tarzan and Jane,Family film,"January 6, 2017"
We're Lalaloopsy,Family film,"January 10, 2017"
VeggieTales in the City,Family film,"February 24, 2017"
Legend Quest,Family film,"February 24, 2017"
Buddy Thunderstruck,Family film,"March 10, 2017"
Spirit Riding Free,Family film,"May 5, 2017"
All Hail King Julien: Exiled,Family film,"May 12, 2017"
True and the Rainbow Kingdom,Family film,"August 11, 2017"
Lego Elves: Secrets of Elvendale,Family film,"September 1, 2017"
The Magic School Bus Rides Again,Family film,"September 29, 2017"
Super Monsters,Family film,"October 13, 2017"
Dinotrux Supercharged,Family film,"November 10, 2017"
Stretch Armstrong and the Flex Fighters,Family film,"November 17, 2017"
Trolls: The Beat Goes On!,Family film,"January 19, 2018"
Llama Llama,Family film,"January 26, 2018"
Luna Petunia: Return to Amazia,Family film,"February 2, 2018"
The Boss Baby: Back in Business,Family film,"April 6, 2018"
Spy Kids: Mission Critical,Family film,"April 20, 2018"
The Hollow,Family film,"June 8, 2018"
True: Magical Friends,Family film,"June 15, 2018"
True: Wonderful Wishes,Family film,"June 15, 2018"
Harvey Girls Forever!,Family film,"June 29, 2018"
The Epic Tales of Captain Underpants,Family film,"July 13, 2018"
Cupcake & Dino: General Services,Family film,"July 27, 2018"
Larva Island,Family film,"October 19, 2018"
She-Ra and the Princesses of Power,Family film,"November 13, 2018"
Kulipari: Dream Walker,Family film,"November 20, 2018"
Motown Magic,Family film,"November 20, 2018"
3Below: Tales of Arcadia,Family film,"December 21, 2018"
Pinky Malinky,Family film,"January 1, 2019"
Carmen Sandiego,Family film,"January 18, 2019"
YooHoo to the Rescue,Family film,"March 15, 2019"
Charlie's Colorforms City,Family film,"March 22, 2019"
Mighty Little Bheem,Family film,"April 12, 2019"
Twelve Forever,Family film,"July 29, 2019"
Spirit Riding Free: Pony Tales,Family film,"August 9, 2019"
Archibald's Next Big Thing,Family film,"September 6, 2019"
The Last Kids on Earth,Family film,"September 17, 2019"
Dragons: Rescue Riders,Family film,"September 27, 2019"
Legend Quest: Masters of Myth,Family film,"October 5, 2019"
Hello Ninja,Family film,"November 1, 2019"
Green Eggs and Ham,Family film,"November 8, 2019"
Fast & Furious Spy Racers,Family film,"December 26, 2019"
Go! Go! Cory Carson,Family film,"January 4, 2020"
Kipo and the Age of Wonderbeasts,Family film,"January 14, 2020"
Glitch Techs,Family film,"February 21, 2020"
Buddi,Family film,"March 20, 2020"
Spirit Riding Free: Riding Academy,Family film,"April 3, 2020"
StarBeam,Family film,"April 3, 2020"
Chico Bon Bon: Monkey with a Tool Belt,Family film,"May 8, 2020"
Rhyme Time Town,Family film,"June 19, 2020"
The Epic Tales of Captain Underpants in Space,Family film,"July 10, 2020"
Wizards: Tales of Arcadia,Family film,"August 7, 2020"
Jurassic World Camp Cretaceous,Family film,"September 18, 2020"
Mighty Express,Family film,"September 22, 2020"
Trash Truck,Family film,"November 10, 2020"
Kid Cosmic,Family film,"February 2, 2021"
Kayko and Kokosh,Family film,"February 28, 2021"
City of Ghosts,Family film,"March 5, 2021"
We the People,Family film,"July 4, 2021"
Ridley Jones,Family film,"July 13, 2021"
Johnny Test,Family film,"July 16, 2021"
Centaurworld,Family film,"July 30, 2021"
I Heart Arlo,Family film,"August 27, 2021"
A Tale Dark & Grimm,Family film,"October 8, 2021"
Maya and the Three,Family film,"October 22, 2021"
"StoryBots: Laugh, Learn, Sing",Family film,"November 16, 2021"
Word Party Presents: Math!,Family film,"December 28, 2021"
Transformers: BotBots,Family film,"March 25, 2022"
Trivia Quest,Family film,"April 1, 2022"
Battle Kitty,Family film,"April 19, 2022"
Sea of Love,Family film,"May 23, 2022"
Dead End: Paranormal Park,Family film,"June 16, 2022"
Big Tree City,Family film,"August 1, 2022"
