Title,Genre,Premiere Date,Language,Country,IMDb Rating,IMDb Votes,Close Price
World of Winx,Family film,2016-11-04,English,"Italy, United States",6.7,765,122.02999877929688
Luna Petunia,Family film,2016-12-09,English,United States,6.4,56,122.87999725341797
Trollhunters: Tales of Arcadia,Family film,2016-12-23,English,"United States, Mexico",8.4,"17,670",125.58999633789062
Edgar Rice Burroughs' Tarzan and Jane,Family film,2017-01-06,,,,,131.07000732421875
We're Lalaloopsy,Family film,2017-01-10,English,United States,6.5,34,129.88999938964844
VeggieTales in the City,Family film,2017-02-24,English,United States,4.6,128,143.25
Legend Quest,Family film,2017-02-24,Spanish,Mexico,7.3,491,143.25
Buddy Thunderstruck,Family film,2017-03-10,English,United States,7.8,519,140.88999938964844
Spirit Riding Free,Family film,2017-05-05,English,United States,6.5,"1,068",156.60000610351562
All Hail King Julien: Exiled,Family film,2017-05-12,English,United States,7.5,617,160.80999755859375
True and the Rainbow Kingdom,Family film,2017-08-11,English,"United States, Canada",7.2,480,171.39999389648438
Lego Elves: Secrets of Elvendale,Family film,2017-09-01,English,United States,6.6,189,174.74000549316406
The Magic School Bus Rides Again,Family film,2017-09-29,English,"United States, Canada",6.3,865,181.35000610351562
Super Monsters,Family film,2017-10-13,English,"Canada, United States",6.4,438,199.49000549316406
Dinotrux Supercharged,Family film,2017-11-10,English,"United States, Canada",7.5,102,192.02000427246094
Stretch Armstrong and the Flex Fighters,Family film,2017-11-17,,,,,193.1999969482422
Trolls: The Beat Goes On!,Family film,2018-01-19,English,United States,6.0,842,220.4600067138672
Llama Llama,Family film,2018-01-26,,United States,6.3,277,274.6000061035156
Luna Petunia: Return to Amazia,Family film,2018-02-02,English,"Canada, United States",5.1,48,267.42999267578125
The Boss Baby: Back in Business,Family film,2018-04-06,"English, Mandarin, French, Cantonese, Spanish",United States,6.5,"3,987",288.8500061035156
Spy Kids: Mission Critical,Family film,2018-04-20,English,"United States, Canada",4.8,412,327.7699890136719
The Hollow,Family film,2018-06-08,English,Canada,7.2,"4,587",360.57000732421875
True: Magical Friends,Family film,2018-06-15,,,,,391.9800109863281
True: Wonderful Wishes,Family film,2018-06-15,,,,,391.9800109863281
Harvey Girls Forever!,Family film,2018-06-29,English,United States,6.9,275,391.42999267578125
The Epic Tales of Captain Underpants,Family film,2018-07-13,English,United States,6.7,"1,023",395.79998779296875
Cupcake & Dino: General Services,Family film,2018-07-27,"English, Portuguese","Canada, Brazil",7.6,803,355.2099914550781
Larva Island,Family film,2018-10-19,None,South Korea,6.6,462,332.6700134277344
She-Ra and the Princesses of Power,Family film,2018-11-13,English,United States,8.0,"17,006",294.3999938964844
Kulipari: Dream Walker,Family film,2018-11-20,,,7.5,101,266.9800109863281
Motown Magic,Family film,2018-11-20,English,"Australia, United States",8.0,303,266.9800109863281
3Below: Tales of Arcadia,Family film,2018-12-21,English,"United States, Mexico, Canada",7.7,"6,607",246.38999938964844
Pinky Malinky,Family film,2019-01-01,English,"United States, Canada",5.7,"1,144",
Carmen Sandiego,Family film,2019-01-18,English,"United States, Canada",7.9,"6,249",339.1000061035156
YooHoo to the Rescue,Family film,2019-03-15,,South Korea,6.7,60,361.4599914550781
Charlie's Colorforms City,Family film,2019-03-22,English,United States,6.6,157,361.010009765625
Mighty Little Bheem,Family film,2019-04-12,Hindi,India,6.6,277,351.1400146484375
Twelve Forever,Family film,2019-07-29,,United States,6.8,737,332.70001220703125
Spirit Riding Free: Pony Tales,Family film,2019-08-09,English,United States,6.8,102,308.92999267578125
Archibald's Next Big Thing,Family film,2019-09-06,,,7.7,297,290.1700134277344
The Last Kids on Earth,Family film,2019-09-17,English,United States,7.3,"1,517",298.6000061035156
Dragons: Rescue Riders,Family film,2019-09-27,,United States,5.9,371,263.0799865722656
Legend Quest: Masters of Myth,Family film,2019-10-05,English,Mexico,7.3,152,
Hello Ninja,Family film,2019-11-01,"English, Spanish",United States,6.9,131,286.80999755859375
Green Eggs and Ham,Family film,2019-11-08,English,United States,8.2,"2,867",291.57000732421875
Fast & Furious Spy Racers,Family film,2019-12-26,English,United States,5.9,"1,577",332.6300048828125
Go! Go! Cory Carson,Family film,2020-01-04,English,United States,7.8,272,
Kipo and the Age of Wonderbeasts,Family film,2020-01-14,English,United States,8.3,"6,346",338.69000244140625
Glitch Techs,Family film,2020-02-21,English,United States,7.7,"1,591",380.07000732421875
Buddi,Family film,2020-03-20,English,"United Kingdom, China",7.4,62,332.8299865722656
Spirit Riding Free: Riding Academy,Family film,2020-04-03,English,United States,7.1,121,361.760009765625
StarBeam,Family film,2020-04-03,English,United States,7.2,93,361.760009765625
Chico Bon Bon: Monkey with a Tool Belt,Family film,2020-05-08,,United States,6.3,134,435.54998779296875
Rhyme Time Town,Family film,2020-06-19,,,7.7,83,453.7200012207031
The Epic Tales of Captain Underpants in Space,Family film,2020-07-10,English,United States,7.3,127,548.72998046875
Wizards: Tales of Arcadia,Family film,2020-08-07,,,,,494.7300109863281
Jurassic World Camp Cretaceous,Family film,2020-09-18,English,United States,7.5,"9,506",469.9599914550781
Mighty Express,Family film,2020-09-22,English,"United States, Canada",3.9,130,491.1700134277344
Trash Truck,Family film,2020-11-10,,,8.6,592,480.239990234375
Kid Cosmic,Family film,2021-02-02,,United States,7.9,"1,558",548.1599731445312
Kayko and Kokosh,Family film,2021-02-28,Polish,Poland,6.3,354,
City of Ghosts,Family film,2021-03-05,"English, French, Central Khmer, Russian",United States,5.9,"5,610",516.3900146484375
We the People,Family film,2021-07-04,English,United States,4.1,807,
Ridley Jones,Family film,2021-07-13,English,United States,2.4,827,540.6799926757812
Johnny Test,Family film,2021-07-16,English,"United States, Canada",5.1,"8,719",530.3099975585938
Centaurworld,Family film,2021-07-30,English,United States,7.7,"2,383",517.5700073242188
I Heart Arlo,Family film,2021-08-27,English,United States,7.1,245,558.9199829101562
A Tale Dark & Grimm,Family film,2021-10-08,English,"United States, Canada",7.3,"1,618",632.6599731445312
Maya and the Three,Family film,2021-10-22,English,"Mexico, United States",8.1,"4,358",664.780029296875
"StoryBots: Laugh, Learn, Sing",Family film,2021-11-16,English,United States,,10,687.4000244140625
Word Party Presents: Math!,Family film,2021-12-28,English,United States,,17,610.7100219726562
Transformers: BotBots,Family film,2022-03-25,English,United States,7.1,107,373.8500061035156
Trivia Quest,Family film,2022-04-01,English,United States,5.7,248,373.4700012207031
Battle Kitty,Family film,2022-04-19,English,United States,6.1,220,348.6099853515625
Sea of Love,Family film,2022-05-23,English,"United States, Canada",6.8,"41,874",187.44000244140625
Dead End: Paranormal Park,Family film,2022-06-16,English,"United Kingdom, United States",6.9,"2,587",173.35000610351562
Big Tree City,Family film,2022-08-01,"English, Ukrainian",United States,8.5,66,226.2100067138672
Oni: Thunder God's Tale,Family film,2022-10-21,"English, Japanese","United States, Japan",8.2,959,289.57000732421875
Ludik,Drama,2022-08-26,"Afrikaans, English",South Africa,5.6,547,223.27999877929688
Jinn,Fantasy adventure,2019-06-13,Arabic,Jordan,3.5,"10,311",343.42999267578125
Dollar,Thriller,2019-08-08,"Arabic, French",Lebanon,6.7,623,315.8999938964844
Paranormal,Supernatural drama,2020-11-05,Arabic,Egypt,8.0,"73,037",513.760009765625
Abla Fahita: Drama Queen,Puppetry/live-action comedy,2021-03-15,"Arabic, Turkish, English",Egypt,6.6,459,520.25
"Love, Life & Everything in Between",Romantic comedy,2022-03-10,Arabic,Saudi Arabia,5.4,113,356.7699890136719
The Cage,Comedy drama,2022-10-11,Czech,Czech Republic,6.8,280,214.2899932861328
The Rain,Post-apocalyptic drama,2018-05-04,Danish,"Denmark, United States",6.3,"38,804",320.0899963378906
Equinox,Thriller,2020-12-30,Danish,Denmark,6.1,"7,340",524.5900268554688
The Chestnut Man,Crime drama,2021-09-29,Danish,Denmark,7.7,"47,926",599.0599975585938
Elves,Fantasy horror,2021-11-28,Danish,Denmark,5.6,"4,674",
Chosen,Coming-of-age science fiction,2022-01-27,English,United States,6.8,"4,796",386.70001220703125
Baby Fever,Romantic comedy drama,2022-06-08,Danish,Denmark,6.5,888,202.8300018310547
Ares,Horror drama,2020-01-17,Dutch,Netherlands,5.7,"4,603",339.6700134277344
Misfit: The Series,Teen musical comedy-drama,2021-10-16,Dutch,Netherlands,7.0,89,
Dirty Lines,Drama,2022-04-08,Dutch,Netherlands,7.4,"2,473",355.8800048828125
Marseille,Political drama,2016-05-05,French,France,6.8,"5,340",89.37000274658203
The Hook Up Plan,Romantic comedy,2018-12-07,,,,,265.1400146484375
Osmosis,Science fiction/drama,2019-03-29,French,France,5.8,"3,192",356.55999755859375
Family Business,Comedy,2019-06-28,English,United States,5.7,"13,240",367.32000732421875
Marianne,Horror drama,2019-09-13,French,France,7.4,"16,577",294.1499938964844
Criminal: France,Police procedural anthology series,2019-09-20,French,France,7.2,"4,332",270.75
Vampires,Supernatural drama,2020-03-20,"English, Latin","United States, Japan",6.1,"60,997",332.8299865722656
Mortel,Supernatural drama,2019-11-21,French,France,6.5,"1,592",311.69000244140625
Into the Night,Science fiction,2020-05-01,"French, Flemish, English, Italian, Turkish, Arabic, Russian, Bulgarian, Mandarin, Polish",Belgium,7.1,"33,712",415.2699890136719
La Révolution,Supernatural drama,2020-10-16,French,France,6.6,"5,922",530.7899780273438
Dealer,Drama,2021-03-10,"Hungarian, English, German",Hungary,6.9,"1,045",504.5400085449219
Gone for Good,Thriller,2021-08-13,French,France,6.3,"4,460",515.9199829101562
Christmas Flow,Romantic comedy/Musical,2021-11-17,French,France,6.0,849,691.6900024414062
Standing Up,Comedy drama,2022-03-18,English,United States,6.8,"3,252",380.6000061035156
The 7 Lives of Lea,Supernatural drama,2022-04-28,French,France,7.5,"4,139",199.52000427246094
Off the Hook,Comedy,2022-09-01,French,France,6.4,653,230.0399932861328
Notre-Dame,Drama,2022-10-19,French,France,5.1,616,272.3800048828125
Dark,Science fiction,2017-12-01,German,"Germany, United States",8.7,"404,032",186.82000732421875
Dogs of Berlin,Drama,2018-12-07,German,Germany,7.5,"13,381",265.1400146484375
Criminal: Germany,Police procedural anthology series,2019-09-20,German,Germany,7.6,"5,510",270.75
Skylines,Drama,2019-09-27,English,"United Kingdom, United States",4.7,"8,558",263.0799865722656
We Are the Wave,Drama,2019-11-01,German,Germany,6.2,"2,873",286.80999755859375
Holiday Secrets,Drama,2019-11-20,German,Germany,6.5,"1,237",305.1600036621094
Biohackers,Thriller,2020-08-20,German,Germany,6.8,"10,516",497.8999938964844
The Last Word,Comedy drama,2020-09-17,English,United States,6.6,"8,514",470.20001220703125
Over Christmas,Comedy,2020-11-27,German,Germany,6.7,"2,285",491.3599853515625
Tribes of Europa,Science fiction,2021-02-19,"German, English",Germany,6.7,"12,975",540.219970703125
The Billion Dollar Code,Legal thriller,2021-10-07,"German, English",Germany,8.0,"9,811",631.8499755859375
Life's a Glitch with Julien Bam,Science fiction comedy-drama,2021-10-21,German,Germany,4.5,416,653.1599731445312
Kitz,Young adult mystery drama,2021-12-30,German,Germany,5.8,"2,715",612.0900268554688
King of Stonks,Comedy drama,2022-07-06,German,Germany,6.6,"1,427",184.05999755859375
Sacred Games,Drama,2018-07-06,Hindi,"India, United States",8.5,"89,424",408.25
Ghoul,Horror,2018-08-24,"Hindi, English",India,7.0,"14,437",358.82000732421875
Selection Day,Drama,2018-12-28,,India,7.3,"2,313",256.0799865722656
Leila,Drama,2019-06-14,Hindi,India,5.0,"9,110",339.7300109863281
Typewriter,Horror,2019-07-19,Hindi,India,6.5,"4,060",315.1000061035156
Bard of Blood,Espionage thriller,2019-09-27,Hindi,India,6.8,"11,767",263.0799865722656
Taj Mahal 1989,Romantic comedy,2020-02-14,Hindi,India,7.5,"1,621",380.3999938964844
Hasmukh,Comedy,2020-04-17,Hindi,India,5.3,"2,741",422.9599914550781
Betaal,Thriller,2020-05-24,Hindi,India,5.4,"9,329",
Masaba Masaba,Drama,2020-08-28,Hindi,India,6.7,"2,226",523.8900146484375
Bhaag Beanie Bhaag,Comedy,2020-12-04,,India,3.5,"6,716",498.30999755859375
Bombay Begums,Drama,2021-03-08,Hindi,India,5.1,"4,962",493.3299865722656
Ray,Anthology series,2021-06-25,English,United States,7.7,"151,185",527.0700073242188
Feels Like Ishq,Anthology series,2021-07-23,Hindi,India,6.5,"1,641",515.4099731445312
Call My Agent: Bollywood,Workplace dramedy,2021-10-29,Hindi,India,5.9,"6,293",690.3099975585938
Aranyak,Crime thriller,2021-12-10,Hindi,India,7.8,"9,822",611.6599731445312
The Fame Game,Suspense family drama,2022-02-25,Hindi,India,6.7,"21,887",390.79998779296875
Mai: A Mother's Rage,Crime thriller,2022-04-15,,,,,
Katla,Supernatural drama,2021-06-17,"Icelandic, Swedish, English",Iceland,7.0,"14,914",498.3399963378906
Suburra: Blood on Rome,Crime drama,2017-10-06,Italian,Italy,7.9,"15,211",198.02000427246094
Baby,Drama,2018-11-30,"Hindi, Nepali",India,7.9,"58,610",286.1300048828125
Luna Nera,Historical drama,2020-01-31,Italian,Italy,5.9,"3,198",345.0899963378906
Summertime,Teen drama,2020-04-29,"English, Italian","United Kingdom, United States",7.1,"9,210",411.8900146484375
Curon,Supernatural drama,2020-06-10,Italian,Italy,5.9,"4,335",434.4800109863281
Zero,Superhero,2021-04-21,Hindi,India,5.2,"28,836",508.8999938964844
Generation 56k,Romantic comedy,2021-07-01,Italian,Italy,7.4,"2,680",533.5399780273438
Luna Park,Drama,2021-09-30,Italian,Italy,6.5,866,610.3400268554688
An Astrological Guide for Broken Hearts,Romantic comedy,2021-10-27,Italian,Italy,7.1,"3,663",662.9199829101562
Framed! A Sicilian Murder Mystery,Comedy,2022-01-01,Italian,Italy,6.8,"1,407",
"Devotion, a Story of Love and Desire",Romantic drama,2022-02-14,,,,,396.57000732421875
Hibana: Spark,Drama,2016-06-02,,,,,101.25
Midnight Diner: Tokyo Stories,Slice of life/Anthology series,2016-10-21,Japanese,Japan,8.4,"4,465",127.5
Samurai Gourmet,Slice of life comedy,2017-03-17,Japanese,Japan,8.1,"2,210",145.11000061035156
Blazing Transfer Students,Action comedy,2017-11-10,Japanese,Japan,6.9,127,192.02000427246094
Erased,Supernatural mystery,2017-12-15,Japanese,Japan,8.5,"50,586",190.1199951171875
Jimmy: The True Story of a True Idiot,Comedy,2018-07-20,Japanese,Japan,6.7,85,361.04998779296875
Switched,Science fiction,2018-08-01,Japanese,Japan,7.1,"1,562",338.3800048828125
The Naked Director,Period comedy drama,2019-08-08,Japanese,Japan,7.7,"6,519",315.8999938964844
Followers,Drama,2020-02-27,Japanese,Japan,6.4,612,371.7099914550781
The Forest of Love: Deep Cut,Drama,2020-04-30,Japanese,Japan,6.8,522,419.8500061035156
Ju-On: Origins,Horror,2020-07-03,"Japanese, English","Japan, United States",6.1,"4,934",
Creator's File: Gold,Mockumentary,2021-06-03,Japanese,Japan,,23,489.42999267578125
The Journalist,Drama,2022-01-13,Japanese,Japan,7.0,775,519.2000122070312
Fishbowl Wives,Romantic drama,2022-02-14,Japanese,Japan,6.2,"1,199",396.57000732421875
My Only Love Song,Comedy,2017-06-09,Korean,South Korea,7.1,739,158.02999877929688
YG Future Strategy Office,Comedy,2018-10-05,,South Korea,6.9,216,351.3500061035156
Kingdom,Period horror thriller,2019-01-25,Korean,South Korea,8.3,"49,054",338.04998779296875
Persona,Anthology,2019-04-11,"Swedish, English",Sweden,8.1,"122,656",367.6499938964844
My First First Love,Romantic comedy,2019-04-18,Korean,South Korea,7.5,"2,577",360.3500061035156
Love Alarm,Romantic dramedy,2019-08-22,Korean,South Korea,6.7,"6,445",296.92999267578125
My Holo Love,Science fiction romance,2020-02-07,Korean,South Korea,7.6,"2,891",366.7699890136719
Extracurricular,Teen/crime drama,2020-04-29,Korean,South Korea,7.6,"7,782",411.8900146484375
The School Nurse Files,Fantasy drama,2020-09-25,Korean,South Korea,6.4,"1,350",482.8800048828125
Move to Heaven,Melodrama,2021-05-14,"Korean, Korean Sign ",South Korea,8.5,"7,176",493.3699951171875
So Not Worth It,Sitcom,2021-06-18,Korean,"Korea, South Korea",7.0,"1,226",500.7699890136719
My Name,Crime thriller,2021-10-15,"Hindi, English","India, United Arab Emirates, United States",7.9,"110,284",628.2899780273438
The Silent Sea,Science fiction thriller,2021-12-24,Korean,South Korea,6.9,"22,322",
Juvenile Justice,Legal drama,2022-02-25,Korean,South Korea,7.9,"4,021",390.79998779296875
The Sound of Magic,Musical/Romantic fantasy,2022-05-06,Korean,South Korea,7.6,"4,023",180.97000122070312
Nowhere Man,Thriller,2019-10-31,English,United States,8.4,"1,864",287.4100036621094
Triad Princess,Crime drama/romance,2019-12-06,,Taiwan,6.7,823,307.3500061035156
The Ghost Bride,Mystery drama,2020-01-23,,"Taiwan, Malaysia",6.3,817,349.6000061035156
More than Blue: The Series,Romantic drama,2021-10-22,Mandarin,Taiwan,8.0,414,664.780029296875
Light the Night,Suspense thriller/Melodrama,2021-11-26,"Chinese, Mandarin",Taiwan,7.4,"1,271",665.6400146484375
"Mom, Don't Do That!",Romantic dramedy,2022-07-15,Mandarin,Taiwan,6.1,261,189.11000061035156
Shards of Her,Suspense thriller,2022-10-28,"Mandarin, Min Nan",Taiwan,6.9,430,295.7200012207031
Home for Christmas,Comedy drama,2019-12-05,Norwegian,Norway,7.7,"15,498",302.8599853515625
Bloodride,Horror anthology,2020-03-13,Norwegian,Norway,6.4,"4,002",336.29998779296875
Post Mortem: No One Dies in Skarnes,Supernatural drama,2021-08-25,Norwegian,Norway,7.1,"3,722",547.5800170898438
The Lørenskog Disappearance,Crime drama,2022-09-14,Norwegian,Norway,6.0,"2,151",224.1199951171875
A Storm for Christmas,Comedy drama,2022-12-16,Norwegian,Norway,7.1,"3,625",290.7099914550781
1983,Spy thriller,2018-11-30,"Polish, English, Vietnamese, Russian, Chinese","Poland, United States",6.8,"3,962",286.1300048828125
The Woods,Thriller,2020-06-12,English,"United States, Germany, Canada",5.6,"11,749",418.07000732421875
Open Your Eyes,Thriller,2021-08-25,Spanish,"Spain, France, Italy",7.7,"70,906",547.5800170898438
Hold Tight,Thriller,2022-04-22,Polish,Poland,6.2,"3,238",215.52000427246094
Cracow Monsters,Fantasy drama,2022-03-18,Polish,Poland,5.5,"2,077",380.6000061035156
Queen,Drama,2022-06-23,"Hindi, English, French, Japanese, Dutch",India,8.1,"66,835",181.7100067138672
Family Secrets,Comedy,2022-08-31,Turkish,Turkey,8.4,"3,843",223.55999755859375
The Green Glove Gang,Dark comedy,2022-10-19,Polish,Poland,6.5,731,272.3800048828125
3%,Science fiction,2016-11-25,Portuguese,Brazil,7.3,"26,539",117.41000366210938
The Mechanism,Crime drama,2018-03-23,Portuguese,Brazil,8.0,"36,401",300.94000244140625
Samantha!,Comedy,2018-07-06,Portuguese,Brazil,6.6,532,408.25
Girls from Ipanema,Period drama,2019-03-22,Portuguese,Brazil,7.8,"3,653",361.010009765625
The Chosen One,Thriller drama,2019-06-28,English,United States,4.5,"2,560",367.32000732421875
Brotherhood,Crime drama,2019-10-25,English,United States,7.7,"7,724",276.82000732421875
Nobody's Looking,Comedy drama,2019-11-22,Portuguese,Brazil,7.7,"2,244",310.4800109863281
Omniscient,Science fiction,2020-01-29,Portuguese,Brazil,6.5,"2,286",343.1600036621094
Reality Z,Zombie horror,2020-06-10,Portuguese,Brazil,5.6,"2,655",434.4800109863281
Kissing Game,Thriller,2020-07-17,Portuguese,Brazil,6.2,834,492.989990234375
Glória,Thriller,2021-11-05,"Portuguese, English",Portugal,7.9,"4,521",645.719970703125
Summer Heat,Drama,2022-01-21,English,United States,4.7,335,397.5
Maldivas,Comedy drama,2022-06-15,Portuguese,Brazil,5.7,"1,128",180.11000061035156
Unsuspicious,Comedy,2022-08-17,Portuguese,Brazil,,188,241.14999389648438
Only for Love,Musical drama,2022-09-21,Portuguese,Brazil,7.8,117,236.8699951171875
Lady Voyeur,Psychological thriller,2023-01-01,Portuguese,Brazil,4.9,"1,610",
The Endless Night,Drama,2023-01-25,Portuguese,Brazil,7.6,"1,204",367.9599914550781
Club de Cuervos,Comedy drama,2015-08-07,Spanish,Mexico,8.2,"5,837",123.5199966430664
Estocolmo,Crime drama,2016-11-11,Spanish,Argentina,5.7,349,114.77999877929688
Ingobernable,Political drama,2017-03-24,Spanish,Mexico,7.0,"3,224",142.02000427246094
Cable Girls,Period drama,2017-04-28,Spanish,Spain,7.5,"15,093",152.1999969482422
Edha,Drama,2018-03-16,Spanish,Argentina,4.9,664,318.45001220703125
Club de Cuervos Presents: The Ballad of Hugo Sánchez,Comedy,2018-06-17,,,,,
The House of Flowers,Comedy,2018-08-10,Spanish,Mexico,7.6,"8,154",345.8699951171875
Wild District,Crime drama,2018-10-19,Spanish,Colombia,8.2,"2,030",332.6700134277344
Diablero,Horror fantasy thriller,2018-12-21,Spanish,Mexico,6.7,"2,718",246.38999938964844
Always a Witch,Supernatural drama,2019-02-01,Spanish,Colombia,6.3,"2,593",339.8500061035156
Go! Live Your Way,Musical,2019-02-22,Spanish,Argentina,6.8,725,363.0199890136719
Crime Diaries: The Candidate,Crime anthology series,2019-03-22,Spanish,Mexico,7.6,851,361.010009765625
Crime Diaries: Night Out,Crime anthology series,2019-05-03,,,,,385.0299987792969
High Seas,Mystery period drama,2019-05-24,Spanish,Spain,6.8,"7,796",354.3900146484375
Yankee,Drama,2019-06-14,Spanish,Mexico,5.9,768,339.7300109863281
Green Frontier,Crime drama/thriller,2019-08-16,,,,,302.79998779296875
Monarca,Family drama,2019-09-13,Spanish,Mexico,7.8,"3,448",294.1499938964844
Criminal: Spain,Police procedural anthology,2019-09-20,Spanish,Spain,6.9,"4,441",270.75
Hache,Thriller,2019-11-01,Spanish,Spain,6.5,"1,760",286.80999755859375
The Club,Crime drama,2019-11-15,Spanish,Chile,7.2,"11,417",295.0299987792969
Three Days of Christmas,Drama,2019-12-06,Spanish,Spain,6.8,"1,389",307.3500061035156
The Neighbor,Superhero comedy,2019-12-31,English,United Kingdom,5.8,"7,951",323.57000732421875
Puerta 7,Sports crime drama,2020-02-21,Spanish,Argentina,5.6,590,380.07000732421875
Unstoppable,Comedy drama,2020-02-28,English,United States,6.8,"200,864",369.0299987792969
Almost Happy,Comedy,2020-05-01,Spanish,Argentina,6.9,"1,028",415.2699890136719
The Unremarkable Juanquini,Comedy,2020-05-15,Spanish,Colombia,4.4,192,454.19000244140625
Control Z,Teen drama,2020-05-22,Spanish,Mexico,6.8,"10,096",429.32000732421875
The Search,Crime anthology series,2020-06-12,"English, German, French, Polish, Hungarian, Czech","Switzerland, United States",7.8,"4,568",418.07000732421875
Dark Desire,Thriller,2020-07-15,Spanish,Mexico,6.5,"8,287",523.260009765625
The Great Heist,Crime drama,2020-08-14,Spanish,Colombia,7.3,"2,717",482.67999267578125
Someone Has to Die,Drama,2020-10-16,Spanish,"Mexico, Spain",6.3,"5,221",530.7899780273438
The Minions of Midas,Thriller,2020-11-13,Spanish,Spain,6.6,"4,386",482.8399963378906
The Mess You Leave Behind,Drama,2020-12-11,Spanish,Spain,6.8,"9,797",503.2200012207031
Sky Rojo,Action drama,2021-03-19,Spanish,Spain,6.6,"10,259",512.1799926757812
Who Killed Sara?,Crime drama,2021-03-24,Spanish,Mexico,6.4,"15,080",520.8099975585938
The Innocent,Mystery thriller,2021-04-30,Spanish,Spain,7.8,"32,843",513.469970703125
Somos.,Drama,2021-06-30,Spanish,Mexico,7.1,"1,220",528.2100219726562
The War Next-door,Comedy,2021-07-07,Spanish,Mexico,5.7,497,535.9600219726562
The Kingdom,Crime drama,2021-08-13,"English, Arabic","United States, Germany, United Arab Emirates",7.0,"127,813",515.9199829101562
Everything Will Be Fine,Dramedy,2021-08-20,"Danish, Czech","Denmark, Sweden, France",6.1,835,546.8800048828125
Jaguar,Historical drama,2021-09-22,Spanish,Spain,5.8,"1,975",590.6500244140625
The Five Juanas,Comedy drama,2021-10-06,Spanish,Mexico,6.9,"2,005",639.0999755859375
The Time It Takes,Drama,2021-10-29,Spanish,Spain,7.2,"1,677",690.3099975585938
Rebelde,Teen drama,2022-01-05,Spanish,Mexico,6.4,"6,608",567.52001953125
Feria: The Darkest Light,Fantasy,2022-01-28,Spanish,Spain,5.7,"2,665",384.3599853515625
Savage Rhythm,Drama,2022-03-02,Spanish,Colombia,5.2,202,380.0299987792969
Once Upon a Time... Happily Never After,Musical comedy,2022-03-11,,,,,340.32000732421875
Heirs to the Land,Period drama,2022-04-15,Spanish,Spain,7.1,"1,354",
42 Days of Darkness,Crime thriller,2022-05-11,Spanish,Chile,6.5,"1,420",166.3699951171875
Intimacy,Drama,2022-06-10,English,"France, United Kingdom, Germany",6.1,"12,568",182.94000244140625
You're Nothing Special,Comedy,2022-09-02,Spanish,Spain,5.6,409,226.11000061035156
The Fight for Justice: Paolo Guerrero,Biopic,2022-10-05,Spanish,"Peru, Argentina",6.5,110,236.72999572753906
"Belascoarán, PI",Detective drama,2022-10-12,Spanish,Mexico,7.3,"1,191",220.8699951171875
If Only,Drama,2022-10-28,English,"United States, United Kingdom",7.0,"33,048",295.7200012207031
Quicksand,Crime drama,2019-04-05,Swedish,Sweden,7.4,"23,066",365.489990234375
Love & Anarchy,Romantic comedy,2020-11-04,Swedish,Sweden,7.4,"10,852",496.95001220703125
The Unlikely Murderer,Crime drama miniseries,2021-11-05,Swedish,Sweden,7.0,"4,525",645.719970703125
Anxious People,Comedy drama,2021-12-29,Swedish,Sweden,6.8,"4,486",610.5399780273438
Clark,Drama,2022-05-05,"Swedish, English, Danish, French, Arabic, Spanish, German",Sweden,7.4,"11,499",188.32000732421875
The Playlist,Docu-drama miniseries,2022-10-13,"Swedish, English",Sweden,7.5,"10,842",232.50999450683594
Paava Kadhaigal,Anthology series,2020-12-18,Tamil,India,8.0,"6,905",534.4500122070312
Navarasa,Anthology series,2021-08-06,Tamil,India,5.8,"3,662",520.5499877929688
Pitta Kathalu,Anthology series,2021-02-19,"Telugu, Hindi",India,5.1,774,540.219970703125
The Stranded,Fantasy drama,2019-11-14,Thai,Thailand,6.2,"1,375",289.6199951171875
Bangkok Breaking,Thriller,2021-09-23,Thai,Thailand,5.8,326,593.260009765625
Hurts Like Hell,Sports drama,2022-07-13,Thai,Thailand,7.4,271,176.55999755859375
Thai Cave Rescue,Drama,2022-09-22,Thai,"Thailand, United States",7.8,"1,985",237.0500030517578
School Tales The Series,Horror anthology,2022-08-10,Thai,Thailand,5.3,541,244.11000061035156
The Protector,Supernatural mystery,2018-12-14,"Thai, English, Mandarin, Vietnamese","Thailand, United States, Hong Kong, France, Australia",7.0,"38,035",266.8399963378906
The Gift,Supernatural drama,2019-12-27,English,"United States, Australia, China",7.0,"163,095",329.0899963378906
Love 101,Teen drama,2020-04-24,Turkish,Turkey,7.4,"15,524",424.989990234375
Ethos,Drama,2020-11-12,"Turkish, Arabic, Kurdish",Turkey,8.5,"28,019",486.7699890136719
50M2,Dark comedy,2021-01-27,Turkish,Turkey,6.9,"5,998",523.280029296875
Wild Abandon,Drama,2022-03-30,English,Australia,,,381.4700012207031
Yakamoz S-245,Drama,2022-04-20,"Turkish, English, German",Turkey,6.1,"7,319",226.19000244140625
Man on Pause,Comedy,2022-10-07,Turkish,Turkey,6.7,"3,911",224.75
Hot Skull,Science fiction,2022-12-02,Turkish,Turkey,7.2,"6,030",320.4100036621094
The Brave Ones,Fantasy drama,2022-09-16,Zulu,South Africa,4.9,463,240.1300048828125
Chef's Table,Culinary art,2015-04-26,English,United States,8.5,"16,041",
Making a Murderer,Crime drama,2015-12-18,English,United States,8.6,"98,240",118.0199966430664
Chelsea Does,Comedy,2016-01-23,English,United States,7.4,"2,549",
Cooked,Culinary art,2016-02-19,English,United States,8.1,"3,068",89.2300033569336
Last Chance U,Sport,2016-07-29,English,United States,8.4,"7,190",91.25
